"","Captura","Concentración","Tratamiento","Ciudad"
"1",16,"Baja","nonchilled","Quebec"
"2",30.4,"Baja","nonchilled","Quebec"
"3",34.8,"Media","nonchilled","Quebec"
"4",37.2,"Media","nonchilled","Quebec"
"5",35.3,"Alta","nonchilled","Quebec"
"6",39.2,"Alta","nonchilled","Quebec"
"8",13.6,"Baja","nonchilled","Quebec"
"9",27.3,"Baja","nonchilled","Quebec"
"10",37.1,"Media","nonchilled","Quebec"
"11",41.8,"Media","nonchilled","Quebec"
"12",40.6,"Alta","nonchilled","Quebec"
"13",41.4,"Alta","nonchilled","Quebec"
"15",16.2,"Baja","nonchilled","Quebec"
"16",32.4,"Baja","nonchilled","Quebec"
"17",40.3,"Media","nonchilled","Quebec"
"18",42.1,"Media","nonchilled","Quebec"
"19",42.9,"Alta","nonchilled","Quebec"
"20",43.9,"Alta","nonchilled","Quebec"
"22",14.2,"Baja","chilled","Quebec"
"23",24.1,"Baja","chilled","Quebec"
"24",30.3,"Media","chilled","Quebec"
"25",34.6,"Media","chilled","Quebec"
"26",32.5,"Alta","chilled","Quebec"
"27",35.4,"Alta","chilled","Quebec"
"29",9.3,"Baja","chilled","Quebec"
"30",27.3,"Baja","chilled","Quebec"
"31",35,"Media","chilled","Quebec"
"32",38.8,"Media","chilled","Quebec"
"33",38.6,"Alta","chilled","Quebec"
"34",37.5,"Alta","chilled","Quebec"
"36",15.1,"Baja","chilled","Quebec"
"37",21,"Baja","chilled","Quebec"
"38",38.1,"Media","chilled","Quebec"
"39",34,"Media","chilled","Quebec"
"40",38.9,"Alta","chilled","Quebec"
"41",39.6,"Alta","chilled","Quebec"
"43",10.6,"Baja","nonchilled","Mississippi"
"44",19.2,"Baja","nonchilled","Mississippi"
"45",26.2,"Media","nonchilled","Mississippi"
"46",30,"Media","nonchilled","Mississippi"
"47",30.9,"Alta","nonchilled","Mississippi"
"48",32.4,"Alta","nonchilled","Mississippi"
"50",12,"Baja","nonchilled","Mississippi"
"51",22,"Baja","nonchilled","Mississippi"
"52",30.6,"Media","nonchilled","Mississippi"
"53",31.8,"Media","nonchilled","Mississippi"
"54",32.4,"Alta","nonchilled","Mississippi"
"55",31.1,"Alta","nonchilled","Mississippi"
"57",11.3,"Baja","nonchilled","Mississippi"
"58",19.4,"Baja","nonchilled","Mississippi"
"59",25.8,"Media","nonchilled","Mississippi"
"60",27.9,"Media","nonchilled","Mississippi"
"61",28.5,"Alta","nonchilled","Mississippi"
"62",28.1,"Alta","nonchilled","Mississippi"
"64",10.5,"Baja","chilled","Mississippi"
"65",14.9,"Baja","chilled","Mississippi"
"66",18.1,"Media","chilled","Mississippi"
"67",18.9,"Media","chilled","Mississippi"
"68",19.5,"Alta","chilled","Mississippi"
"69",22.2,"Alta","chilled","Mississippi"
"71",7.7,"Baja","chilled","Mississippi"
"72",11.4,"Baja","chilled","Mississippi"
"73",12.3,"Media","chilled","Mississippi"
"74",13,"Media","chilled","Mississippi"
"75",12.5,"Alta","chilled","Mississippi"
"76",13.7,"Alta","chilled","Mississippi"
"78",10.6,"Baja","chilled","Mississippi"
"79",18,"Baja","chilled","Mississippi"
"80",17.9,"Media","chilled","Mississippi"
"81",17.9,"Media","chilled","Mississippi"
"82",17.9,"Alta","chilled","Mississippi"
"83",18.9,"Alta","chilled","Mississippi"
